occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,early_age,late_age,reference_no,lng,lat,cx_int_no,phylum,class,order,family,genus
139292,occ,22878.0,,11917,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,72.2,66.0,4218,-113.0289,51.906399,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
139293,occ,,,11918,cf. Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,72.2,66.0,4205,-113.23333,51.933334,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
220009,occ,,,22657,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Campanian,,83.6,72.2,5721,-111.524582,50.727234,113,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
280101,occ,,,26760,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,72.2,66.0,7389,-104.456505,43.489639,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
291021,occ,,,14640,cf. Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Lancian,,72.2,66.0,717,-104.491669,40.386391,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
401751,occ,18008.0,,38544,Aublysodon molnaris n. sp.,species,57107,,Tyrannosaurus rex,species,54833,Maastrichtian,,72.2,66.0,10350,-107.083,47.536201,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
457806,occ,,,45098,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,72.2,66.0,11749,-103.9617,45.948799,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
457816,occ,,,45099,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,72.2,66.0,11749,-103.9617,45.948799,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
457841,occ,,,14610,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Lancian,,72.2,66.0,11749,-103.300003,46.099998,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
457862,occ,,,45102,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,72.2,66.0,11749,-103.753899,45.977699,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
457881,occ,,,45109,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,72.2,66.0,11749,-103.766899,46.026402,112,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus
